Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BATTERY-2032","C70377"
"1u","C1","C0603","C15849"
"1u","C2","C0603","C15849"
"100nF","C3","C0402","C307331"
"10u","C4","C0603","C96446"
"10u","C5","C0603","C96446"
"10u","C6","C0603","C96446"
"100nF","C7","C0402","C307331"
"5.6nF","C8","C0402","C115688"
"10u","C9","C0603","C96446"
"10nF","C10","C0402","C15195"
"10u","C11","C0603","C96446"
"10u","C12","C0603","C96446"
"10u","C13","C0603","C96446"
"220nF","C14","C0402","C16772"
"10u","C15","C0603","C96446"
"100nF","C16","C0402","C307331"
"100nF","C17","C0402","C307331"
"10u","C18","C0603","C96446"
"100nF","C19","C0402","C307331"
"10u","C20","C0603","C96446"
"100nF","C21","C0402","C307331"
"100n","C22","C0603","C14663"
"100nF","C23","C0402","C307331"
"cr","cr1","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr2","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr3","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr4","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr5","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr6","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr7","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr8","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr9","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr10","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr11","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr12","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr13","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr14","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr15","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr16","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr17","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr18","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr19","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr20","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr21","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr22","PinHeader_1x01_P1.00mm_Vertical",""
"B5819W","D1","D_SOD-123","C8598"
"B5819W","D2","D_SOD-123","C8598"
"1N4148WS","D3","D_SOD-323","C2128"
"1N4148WS","D4","D_SOD-323","C2128"
"B5819W","D5","D_SOD-123","C8598"
"B5819W","D6","D_SOD-123","C8598"
"1N4148WS","D7","D_SOD-323","C2128"
"LED-RED-0603","D8","LED-0603","C2286"
"1N4148WS","D9","D_SOD-323","C2128"
"LED-RED-0603","D10","LED-0603","C2286"
"1N4148WS","D11","D_SOD-323","C2128"
"LED-RED-0603","D12","LED-0603","C2286"
"1N4148WS","D13","D_SOD-323","C2128"
"LED-RED-0603","D14","LED-0603","C2286"
"1N4148WS","D15","D_SOD-323","C2128"
"LED-RED-0603","D16","LED-0603","C2286"
"1N4148WS","D17","D_SOD-323","C2128"
"LED-RED-0603","D18","LED-0603","C2286"
"1N4148WS","D19","D_SOD-323","C2128"
"LED-RED-0603","D20","LED-0603","C2286"
"1N4148WS","D21","D_SOD-323","C2128"
"LED-RED-0603","D22","LED-0603","C2286"
"LED-BLUE-0603","D23","LED-0603","C72041"
"LED-BLUE-0603","D24","LED-0603","C72041"
"LED-BLUE-0603","D25","LED-0603","C72041"
"LED-BLUE-0603","D26","LED-0603","C72041"
"LED-BLUE-0603","D27","LED-0603","C72041"
"LED-BLUE-0603","D28","LED-0603","C72041"
"LED-BLUE-0603","D29","LED-0603","C72041"
"LED-BLUE-0603","D30","LED-0603","C72041"
"LED-GREEN-0603","D31","LED-0603","C72043"
"LED-GREEN-0603","D32","LED-0603","C72043"
"LED-GREEN-0603","D33","LED-0603","C72043"
"1N4148WS","D34","D_SOD-323","C2128"
"LED-GREEN-0603","D35","LED-0603","C72043"
"1N4148WS","D36","D_SOD-323","C2128"
"LED-RED-0603","D37","LED-0603","C2286"
"1N4148WS","D38","D_SOD-323","C2128"
"LED-RED-0603","D39","LED-0603","C2286"
"1N4148WS","D40","D_SOD-323","C2128"
"LED-WHITE-0603","D41","LED-0603","C84265"
"1N4148WS","D42","D_SOD-323","C2128"
"1N4148WS","D43","SOD-323","C2128"
"10A","F1","36911600000","C354908"
"10A","F2","36911600000","C354908"
"10A","F3","36911600000","C354908"
"10A","F4","36911600000","C354908"
"10A","F5","36911600000","C354908"
"10A","F6","36911600000","C354908"
"10A","F7","36911600000","C354908"
"10A","F8","36911600000","C354908"
"PROTO_AREA","G1","PROTO_AREA",""
"PROTO_AREA","G2","PROTO_AREA",""
"PROTO_AREA","G3","PROTO_AREA",""
"PROTO_AREA","G4","PROTO_AREA",""
"MountingHole","H1","MountingHole_4.3mm_M4_DIN965",""
"MountingHole","H2","MountingHole_4.3mm_M4_DIN965",""
"Conn_01x05","J1","PinHeader_1x05_P2.54mm_Vertical",""
"MiniFit","J2","Molex_Mini-Fit_Jr_5569-02A2_2x01_P4.20mm_Horizontal",""
"VRIN1","J3","PinHeader_1x01_P1.00mm_Vertical",""
"VRIN2","J4","PinHeader_1x01_P1.00mm_Vertical",""
"AudioJack_THR","J5","Jack_3.5mm_PJ-3250-5A","C165947"
"VROUT1","J6","PinHeader_1x01_P1.00mm_Vertical",""
"ETB","J7","PinHeader_1x06_P2.54mm_Vertical",""
"PPS","J8","PinHeader_1x04_P2.54mm_Vertical",""
"XH-8A","J9","XH-8A","C10385"
"Conn_01x05","J10","PinHeader_1x05_P2.00mm_Vertical",""
"USB_B_Mini","J11","USB-MINI-B-VERTICAL","C13453"
"Jumper_2_Open","JP1","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP2","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP3","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP4","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP5","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP6","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP7","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP8","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP9","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP10","PAD-0805-PAD",""
"Jumper_2_Open","JP11","PAD-0805-PAD",""
"Jumper_2_Open","JP12","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP13","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP14","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP15","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP16","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP17","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP18","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP19","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP20","PAD-0805-PAD",""
"Jumper_2_Open","JP21","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP22","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP23","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP24","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP25","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP26","PAD-1206-PAD","C182446"
"Jumper_2_Open","JP27","PAD-1206-PAD","C182446"
"Jumper_2_Open","JP28","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP29","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP30","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP31","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP32","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP33","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP34","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP35","PAD-0805-PAD",""
"IN_KNOCK1_RAW","KNOCK_RAW1","PinHeader_1x01_P1.00mm_Vertical",""
"IN_KNOCK2_RAW","KNOCK_RAW2","PinHeader_1x01_P1.00mm_Vertical",""
"Module:power12/0.2","M1","power12",""
"Module:power5/0.2","M2","power5",""
"Module:knock/0.1","M3","knock",""
"Module:knock/0.1","M4","knock",""
"Module:vr/0.1","M5","vr",""
"Module:output/0.3","M6","output",""
"Module:input/0.1","M7","input",""
"Module:ign8/0.2","M8","ign8",""
"Module:mcu144/0.6","M9","mcu",""
"Module:sd/0.1","M10","sd",""
"Module:can/0.1","M11","can",""
"Module:wbo/0.3","M12","wbo",""
"Module:can/0.1","M13","can",""
"MMCU","MMCU1","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU2","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU3","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU4","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU5","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU6","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU7","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU8","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU9","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU10","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU11","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU12","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU13","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU14","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU15","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU16","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU17","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU18","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU19","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU20","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU21","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU22","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU23","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU24","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU25","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU26","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU27","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU28","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU29","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU30","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU31","PinHeader_1x01_P1.00mm_Vertical",""
"P","P1","Pin_D1.0mm_L10.0mm",""
"P","P2","Pin_D1.0mm_L10.0mm",""
"P","P3","Pin_D1.0mm_L10.0mm",""
"P","P4","Pin_D1.0mm_L10.0mm",""
"P","P5","Pin_D1.0mm_L10.0mm",""
"P","P6","Pin_D1.0mm_L10.0mm",""
"Motronic_88pin","PP1","88pin_STS",""
"NGD8201AN","Q1","DPAK","C151649"
"NGD8201AN","Q2","DPAK","C151649"
"NGD8201AN","Q3","DPAK","C151649"
"NGD8201AN","Q4","DPAK","C151649"
"NGD8201AN","Q5","DPAK","C151649"
"NGD8201AN","Q6","DPAK","C151649"
"NGD8201AN","Q7","DPAK","C151649"
"NGD8201AN","Q8","DPAK","C151649"
"AUIPS2041LTR","Q9","SOT-223","C113610"
"AUIPS2041LTR","Q10","SOT-223","C113610"
"DNP","R1","R2512","NA"
"22","R2","R0603","C23345"
"22","R3","R0603","C23345"
"DNP","R4","R2512","NA"
"DNP","R5","R2512","NA"
"22","R6","R0603","C23345"
"22","R7","R0603","C23345"
"DNP","R8","R2512","NA"
"DNP","R9","R2512","NA"
"22","R10","R0603","C23345"
"22","R11","R0603","C23345"
"DNP","R12","R2512","NA"
"DNP","R13","R0402",""
"DNP","R14","R0402",""
"100k","R15","R0402","C106234"
"100","R16","R0402","C106233"
"10k","R17","R0402","C60489"
"DNP","R18","R2512","NA"
"22","R19","R0603","C23345"
"22","R20","R0603","C23345"
"DNP","R21","R2512","NA"
"2.7k","R22","R0603","C13167"
"2.7k","R23","R0603","C13167"
"10k","R24","R0402","C60489"
"10k","R25","R0402","C60489"
"680k","R26","R0603","C25822"
"680k","R27","R0603","C25822"
"680k","R28","R0603","C25822"
"DNP","R29","R0603",""
"DNP","R30","R0603",""
"1k6","R31","R0402","C25931"
"750R","R32","R0402","C25132"
"5k1","R33","R0402","C25941"
"5k1","R34","R0402","C25941"
"5k1","R35","R0402","C25941"
"20k","R36","R0402","C25765"
"4.7k","R37","R0402","C25940"
"4.7k","RN1","R_Array_Concave_4x0603","C1980"
"4.7k","RN2","R_Array_Concave_4x0603","C1980"
"1k","RN3","R_Array_Concave_4x0603","C240722"
"1k","RN4","R_Array_Concave_4x0603","C240722"
"Button_SPST","SW1","SMD-2_2.9x3.9x1.7","C115357"
"Button_SPST","SW2","SMD-2_2.9x3.9x1.7","C115357"
"TestPoint","TP1","TestPoint_Pad_D1.0mm",""
"TestPoint","TP2","TestPoint_Pad_D1.0mm",""
"TestPoint","TP3","TestPoint_Pad_D1.0mm",""
"TestPoint","TP4","TestPoint_Pad_D1.0mm",""
"TLS115_SOIC","U1","PG-DSO-8-43","C540242"
"TLS115_SON","U2","HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm",""
"MCP6002-xSN","U3","SO8","C7377"
"L6205PD","U4","SO20POWER","C36543"
"MPX4_MAP","U5","MPX-4_MAP",""
"MPXA6115A","U6","SSO-8_6.8x5.9mm_P1.27mm_Clearance7mm",""
"LIS2DW12TR","U7","LGA-12_2x2mm_P0.5mm","C189624"
"LPS25HB","U8","HLGA-10","C87898"
"VIN9","VIN1","PinHeader_1x01_P1.00mm_Vertical",""
"VIN8","VIN2","PinHeader_1x01_P1.00mm_Vertical",""
"VIN8","VIN3","PinHeader_1x01_P1.00mm_Vertical",""
"VIN8","VIN4","PinHeader_1x01_P1.00mm_Vertical",""
"VIN8","VIN5","PinHeader_1x01_P1.00mm_Vertical",""
"VIN8","VIN6","PinHeader_1x01_P1.00mm_Vertical",""
"VIN8","VIN7","PinHeader_1x01_P1.00mm_Vertical",""
"VIN8","VIN8","PinHeader_1x01_P1.00mm_Vertical",""
"VIN10","VIN9","PinHeader_1x01_P1.00mm_Vertical",""
"VIN16","VIN10","PinHeader_1x01_P1.00mm_Vertical",""
"VIN17","VIN11","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT1","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT2","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT3","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT4","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT5","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT6","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT7","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT8","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT9","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT10","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT11","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT12","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT5","VOUT13","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT14","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT15","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT16","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT17","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT6","VOUT18","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT19","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT20","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT21","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT22","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT23","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT24","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT25","PinHeader_1x01_P1.00mm_Vertical",""
"VOUT4","VOUT26","PinHeader_1x01_P1.00mm_Vertical",""
